location,price,bedrooms,bathrooms,floor area,land area,latitude,longitude,city,province,region
"Eden, Mexico",3979000.0,2.0,2.0,59.0,88.0,15.1262529,120.6580131,Mexico,Pampanga,Region III
"Alapan Ii-A, Imus",5978000.0,3.0,3.0,90.0,100.0,14.4084522,120.8964956,Imus,Cavite,Region IV-A
"Sapang Biabas, Mabalacat",2706500.0,3.0,2.0,62.0,65.0,15.1987752,120.6026101,Mabalacat,Pampanga,Region III
"Aningway Sacatihan, Subic",10501000.0,4.0,3.0,83.0,217.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Pasong Camachile I, General Trias",6650000.0,3.0,2.0,84.0,120.0,14.3723207,120.8976745,General Trias,Cavite,Region IV-A
"Pasong Camachile I, General Trias",5978000.0,3.0,3.0,90.0,100.0,14.3723207,120.8976745,General Trias,Cavite,Region IV-A
"Carsadang Bago I, Imus",5234791.0,3.0,2.0,75.0,112.0,14.4289186,120.928888,Imus,Cavite,Region IV-A
"Camella Tarlac Access Rd. Maliwalo, Tarlac",10748000.0,5.0,3.0,166.0,143.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",26365000.0,3.0,3.0,219.3,90.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Longos, Malolos",3025000.0,2.0,1.0,36.0,42.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",28348000.0,3.0,3.0,219.3,105.0,14.4270005,121.0452782,Muntinlupa,Muntinlupa,NCR
"Aguinaldo Highway San Agustin I, Dasmarinas",9500000.0,4.0,4.0,132.0,66.0,14.3214271,120.94188,Dasmarinas,Cavite,Region IV-A
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5705000.0,2.0,2.0,53.0,99.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5174000.0,2.0,1.0,46.0,96.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Aningway Sacatihan, Subic",2341000.0,1.0,1.0,33.0,70.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Longos, Malolos",10413000.0,3.0,2.0,76.0,128.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"Longos, Malolos",5179000.0,2.0,1.0,46.0,60.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"Longos, Malolos",6005000.0,2.0,2.0,53.0,88.0,14.87426,120.7915336,Malolos,Bulacan,Region III
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6200000.0,3.0,2.0,66.0,99.0,15.4710779,120.9821312,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4454000.0,2.0,1.0,40.0,63.0,15.4710779,120.9821312,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4458000.0,2.0,1.0,46.0,63.0,15.4710779,120.9821312,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8915000.0,3.0,2.0,66.0,121.0,15.4710779,120.9821312,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4270000.0,2.0,1.0,46.0,63.0,15.4710779,120.9821312,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4263000.0,2.0,1.0,40.0,63.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7503000.0,4.0,3.0,83.0,99.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8915000.0,3.0,2.0,66.0,121.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4458000.0,2.0,1.0,46.0,63.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4454000.0,2.0,1.0,40.0,63.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5174000.0,2.0,1.0,46.0,96.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4633000.0,2.0,1.0,46.0,60.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3.0,3.0,219.3,91.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Divisoria, Mexico",4710000.0,2.0,2.0,72.0,121.0,15.0924892,120.6827977,Mexico,Pampanga,Region III
"Purok Hurtado Concepcion, Koronadal",2683000.0,2.0,1.0,40.3,50.4,6.4918813,124.7994309,Koronadal,South Cotabato,Region XII
"Km. 19 West Service Rd. Cupang, Muntinlupa",28348000.0,3.0,3.0,219.3,105.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Macarthur Hwy Anonas, Urdaneta",6286000.0,3.0,2.0,66.0,110.0,16.0015834,120.5760561,Urdaneta,Pangasinan,Region I
"Aningway Sacatihan, Subic",6810000.0,3.0,2.0,66.0,146.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Alapan Ii-A, Imus",6756360.0,4.0,3.0,110.0,100.0,14.4084522,120.8964956,Imus,Cavite,Region IV-A
"Km. 19 West Service Rd. Cupang, Muntinlupa",33792000.0,3.0,3.0,247.4,93.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Km. 19 West Service Rd. Cupang, Muntinlupa",26393000.0,3.0,3.0,219.3,91.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"San Jose, Antipolo",5700000.0,4.0,3.0,90.0,78.0,14.5853745,121.1822801,Antipolo,Rizal,Region IV-A
"Km. 19 West Service Rd. Cupang, Muntinlupa",32539000.0,3.0,3.0,247.4,93.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Km. 19 West Service Rd. Cupang, Muntinlupa",28348000.0,3.0,3.0,219.3,105.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Km. 19 West Service Rd. Cupang, Muntinlupa",28776000.0,3.0,3.0,219.3,90.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4872000.0,2.0,1.0,50.0,88.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Camella Tarlac Access Rd. Maliwalo, Tarlac",6319000.0,3.0,2.0,66.0,99.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Camella Tarlac Access Rd. Maliwalo, Tarlac",4315000.0,2.0,1.0,46.0,72.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Aningway Sacatihan, Subic",7907000.0,3.0,2.0,66.0,150.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Aningway Sacatihan, Subic",7421000.0,5.0,3.0,100.0,121.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Aningway Sacatihan, Subic",6087000.0,4.0,3.0,83.0,99.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Aguinaldo Highway San Agustin I, Dasmarinas",9500000.0,4.0,4.0,132.0,66.0,14.3152974,120.9450966,Dasmarinas,Cavite,Region IV-A
"Km. 19 West Service Rd. Cupang, Muntinlupa",28572000.0,3.0,3.0,219.3,103.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Camella Tarlac Access Rd. Maliwalo, Tarlac",5776000.0,3.0,2.0,66.0,88.0,15.4777848,120.6140745,Tarlac,Tarlac,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",26365000.0,3.0,3.0,219.3,90.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"Divisoria, Mexico",3190000.0,3.0,2.0,60.0,80.0,14.4321626,121.0452418,Mexico,Pampanga,Region III
"Aningway Sacatihan, Subic",8277000.0,3.0,2.0,66.0,162.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Camella Prima Butuan, Barangay Ampayon, Butuan City Ampayon, Butuan",4480180.0,2.0,1.0,40.0,88.0,8.955797,125.5900574,Butuan,Agusan del Norte,Region XIII
"Sapang Biabas, Mabalacat",2224500.0,2.0,1.0,50.0,65.0,15.1987752,120.6026101,Mabalacat,Pampanga,Region III
"Cupang, Muntinlupa",31348000.0,3.0,3.0,247.4,92.0,14.4378843,121.0503212,Muntinlupa,Muntinlupa,NCR
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",9584000.0,5.0,3.0,142.0,132.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",7618000.0,5.0,3.0,100.0,110.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4383000.0,2.0,1.0,40.0,63.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Aningway Sacatihan, Subic",7340000.0,4.0,3.0,83.0,146.0,14.9131781,120.2282421,Subic,Zambales,Region III
"Mining, Angeles",8000000.0,3.0,2.0,84.0,84.0,15.1451282,120.6028533,Angeles,Pampanga,Region III
"Km. 19 West Service Rd. Cupang, Muntinlupa",34016000.0,3.0,3.0,247.4,93.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
"San Sebastian, Kawit",2389000.0,3.0,1.0,50.0,50.0,14.4129793,120.8886677,Kawit,Cavite,Region IV-A
"Bugtong Na Pulo, Lipa",4928000.0,3.0,1.0,65.0,116.0,13.9984308,121.1674592,Lipa,Batangas,Region IV-A
"Bugtong Na Pulo, Lipa",4006000.0,2.0,1.0,53.0,52.0,13.9984308,121.1674592,Lipa,Batangas,Region IV-A
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10956000.0,5.0,3.0,166.0,143.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8686000.0,4.0,3.0,85.0,141.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3230000.0,2.0,1.0,36.0,65.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5772000.0,2.0,2.0,53.0,89.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",8732000.0,5.0,3.0,142.0,121.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10863000.0,4.0,3.0,85.0,204.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2793000.0,2.0,1.0,36.0,42.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",3309000.0,2.0,1.0,36.0,63.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",6650000.0,3.0,2.0,66.0,110.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",5079000.0,2.0,2.0,53.0,88.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",2698000.0,2.0,1.0,36.0,40.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",10692000.0,5.0,3.0,97.0,121.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Emilio Vergara Hwy Santa Arcadia, Cabanatuan",4263000.0,2.0,1.0,40.0,60.0,15.468244,120.9764138,Cabanatuan,La Union,Region I
"Aguinaldo Highway San Agustin I, Dasmarinas",9500000.0,4.0,4.0,132.0,66.0,14.3152974,120.9450966,Dasmarinas,Cavite,Region IV-A
"Km. 19 West Service Rd. Cupang, Muntinlupa",28090000.0,3.0,3.0,219.3,90.0,14.4321626,121.0452418,Muntinlupa,Muntinlupa,NCR
